"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs10625784-<b>TAAA</b>,"8 x 10-7",,0.99,0.23,'-,[0.13-0.42],"AP002001.2, AP003173.1","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,11:106323171
rs79237700-<b>C</b>,"2 x 10-6",,0.04,1.82,'-,[1.42-2.33],AC066614.1,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,15:53449415
rs574480779-<b>T</b>,"9 x 10-7",,0.03,2.27,'-,[1.64-3.15],"KIF4B, AC008410.1","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,5:155011321
rs1344228-<b>T</b>,"8 x 10-6",,0.11,1.33,'-,[1.17-1.51],"ELOAP1, AC073409.1","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,2:123529348
rs6055069-<b>C</b>,"1 x 10-6",,0.98,0.38,'-,[0.25-0.56],"DEFB126, DEFB127","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,20:153643
rs17206992-<b>G</b>,"6 x 10-6",(EA),0.057,2.32,'-,[NR],GALNT13,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,2:154368670
rs113517532-<b>AGAT</b>,"2 x 10-6",(EA),0.106,1.75,'-,[NR],"LINC01117, AC092162.2","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,2:176780863
rs73018809-<b>T</b>,"2 x 10-7",(EA),0.024,3.5,'-,[NR],NUP210,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,3:13329174
rs28641753-<b>T</b>,"2 x 10-7",(EA),0.071,2.1,'-,[NR],"AC091804.1, RAP1BP2","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,3:104256574
rs78031527-<b>T</b>,"5 x 10-6",(EA),0.201,1.7,'-,[NR],"JAKMIP1, C4orf50","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,4:6169503
rs143537377-<b>C</b>,"8 x 10-6",(EA),0.096,1.88,'-,[NR],LINC02212,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,5:10500534
rs115829748-<b>T</b>,"1 x 10-9",(EA),0.04,3.16,'-,[NR],AC025774.1,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,5:72098560
rs9354144-<b>A</b>,"6 x 10-6",(EA),0.105,1.71,'-,[NR],"CYCSP17, MTCYBP36","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,6:94847753
rs571622299-<b>A</b>,"6 x 10-6",(EA),0.015,4.12,'-,[NR],KCNB2,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,8:72930288
rs143723948-<b>T</b>,"6 x 10-7",(EA),0.499,1.65,'-,[NR],PAX5,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,9:37034098
rs117826205-<b>C</b>,"6 x 10-6",(EA),0.026,2.72,'-,[NR],MALRD1,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,10:19168458
rs61879614-<b>C</b>,"3 x 10-6",(EA),0.048,2.94,'-,[NR],TUB,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,11:8058878
rs34319244-<b>C</b>,"3 x 10-6",(EA),0.44,1.51,'-,[NR],"SPNS3, UBE2G1","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,17:4424870
rs113114656-<b>T</b>,"2 x 10-6",(EA),0.04,2.67,'-,[NR],SMAD2,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,18:47872985
rs67213764-<b>G</b>,"9 x 10-6",(EA),0.261,1.48,'-,[NR],"LINC02573, LINC01683","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,21:19974842
rs12482425-<b>G</b>,"9 x 10-6",(EA),0.686,1.5151515,'-,[NR],"AP000961.1, AP000459.2","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,21:23556791
rs373009901-<b>C</b>,"9 x 10-6",(EA),0.019,3.94,'-,[NR],GRK3,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,22:25592812
rs138760780-<b>T</b>,"9 x 10-6",(EA),0.018,3.48,'-,[NR],CDK18,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,1:205515245
rs12344245-<b>G</b>,"9 x 10-6",(EA),0.035,2.52,'-,[NR],FAM189A2,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,9:69340801
rs12344245-<b>G</b>,"9 x 10-6",,0.035,1.85,'-,[1.41-2.43],FAM189A2,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,9:69340801
rs138760780-<b>T</b>,"2 x 10-6",,0.018,2.6,'-,[1.75-3.85],CDK18,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST006281,1:205515245
rs926169-<b>T</b>,"9 x 10-6",,0.36,1.28,'-,[1.15–1.42],"CTLA4, RNU6-474P","Type 1 diabetes","type I diabetes mellitus",GCST009916,2:203858029
rs9273363-<b>A</b>,"5 x 10-138",,0.13,5.48,'-,[4.80–6.27],"HLA-DQA1, HLA-DQB1","Type 1 diabetes","type I diabetes mellitus",GCST009916,6:32658495
rs1578060-<b>C</b>,"2 x 10-6",,0.13,1.42,'-,[1.23–1.64],AL356534.1,"Type 1 diabetes","type I diabetes mellitus",GCST009916,6:126391101
rs10788599-<b>?</b>,"1 x 10-6",,0.83,1.4492754,'-,'-,RNLS,"Type 1 diabetes","type I diabetes mellitus",GCST009916,10:88428167
rs3842727-<b>T</b>,"1 x 10-13",,0.26,1.53,'-,[1.37–1.72],"TH, INS","Type 1 diabetes","type I diabetes mellitus",GCST009916,11:2163618
rs56380902-<b>C</b>,"1 x 10-8",,0.44,1.35,'-,[1.22–1.50],GSDMB,"Type 1 diabetes","type I diabetes mellitus",GCST009916,17:39910119
rs17696736-<b>G</b>,"2 x 10-16",,0.42,1.22,'-,[1.15-1.28],NAA25,"Type 1 diabetes","type I diabetes mellitus",GCST000038,12:112049014
rs763361-<b>A</b>,"1 x 10-8",,0.47,1.16,'-,[1.10-1.22],CD226,"Type 1 diabetes","type I diabetes mellitus",GCST000038,18:69864406
rs1445898-<b>G</b>,"8 x 10-6",,0.55,1.12,'-,[1.06-1.19],CAPSL,"Type 1 diabetes","type I diabetes mellitus",GCST000038,5:35910427
rs2292239-<b>A</b>,"2 x 10-20",,0.34,1.28,'-,[1.21-1.35],ERBB3,"Type 1 diabetes","type I diabetes mellitus",GCST000038,12:56088396
rs12708716-<b>A</b>,"3 x 10-18",,0.68,1.23,'-,[1.16-1.30],CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST000038,16:11086016
rs2542151-<b>C</b>,"1 x 10-14",,0.16,1.3,'-,[1.22-1.40],"AP005482.2, PTPN2","Type 1 diabetes","type I diabetes mellitus",GCST000038,18:12779948
rs2476601-<b>T</b>,"2 x 10-80",,0.09,1.98,'-,[1.82-2.15],"PTPN22, AL137856.1","Type 1 diabetes","type I diabetes mellitus",GCST000038,1:113834946
rs6897932-<b>G</b>,"8 x 10-6",,0.71,1.12,'-,[1.06-1.19],IL7R,"Type 1 diabetes","type I diabetes mellitus",GCST000038,5:35874473
rs9653442-<b>G</b>,"5 x 10-6",,0.46,1.11,'-,[1.05-1.17],LINC01104,"Type 1 diabetes","type I diabetes mellitus",GCST000038,2:100208905
rs6679677-<b>A</b>,"8 x 10-24",,0.10,1.89,'-,[1.67-2.13],"PHTF1, RSBN1","Type 1 diabetes","type I diabetes mellitus",GCST000038,1:113761186
rs3741208-<b>T</b>,"2 x 10-7",,0.38,1.25,'-,[1.15-1.35],"AC132217.2, IGF2-AS, INS-IGF2","Type 1 diabetes","type I diabetes mellitus",GCST000038,11:2148544
rs1990760-<b>A</b>,"2 x 10-11",,0.60,1.18,'-,[1.11-1.23],IFIH1,"Type 1 diabetes","type I diabetes mellitus",GCST000038,2:162267541
rs1004446-<b>C</b>,"4 x 10-9",,0.65,1.61,'-,[1.37-1.89],"INS-IGF2, AC132217.2","Type 1 diabetes","type I diabetes mellitus",GCST000054,11:2148913
rs2903692-<b>G</b>,"7 x 10-11",,0.62,1.54,'-,[1.32-1.79],CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST000054,16:11144926
rs2476601-<b>A</b>,"1 x 10-7",,0.09,1.8,'-,[1.44-2.24],"PTPN22, AL137856.1","Type 1 diabetes","type I diabetes mellitus",GCST000054,1:113834946
rs2647044-<b>A</b>,"1 x 10-16",,0.13,8.3,'-,[6.97-9.89],"MTCO3P1, HLA-DQB1","Type 1 diabetes","type I diabetes mellitus",GCST000054,6:32700133
rs3757247-<b>A</b>,"1 x 10-6",,NR,1.13,'-,[1.08-1.19],BACH2,"Type 1 diabetes","type I diabetes mellitus",GCST000244,6:90247744
rs8035957-<b>C</b>,"4 x 10-6",,NR,1.14,'-,[1.08-1.21],RASGRP1,"Type 1 diabetes","type I diabetes mellitus",GCST000244,15:38546063
rs9976767-<b>C</b>,"2 x 10-8",,NR,1.16,'-,[1.10-1.22],UBASH3A,"Type 1 diabetes","type I diabetes mellitus",GCST000244,21:42416281
rs1983853-<b>?</b>,"2 x 10-6",,NR,1.2,'-,[1.11-1.29],LPAR3,"Type 1 diabetes","type I diabetes mellitus",GCST000244,1:84845509
rs10758593-<b>A</b>,"3 x 10-6",,NR,1.13,'-,[1.07-1.19],GLIS3,"Type 1 diabetes","type I diabetes mellitus",GCST000244,9:4292083
rs11258747-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,PRKCQ,"Type 1 diabetes","type I diabetes mellitus",GCST000392,10:6430929
rs2292239-<b>?</b>,"2 x 10-25",,NR,'-,'-,'-,ERBB3,"Type 1 diabetes","type I diabetes mellitus",GCST000392,12:56088396
rs3184504-<b>?</b>,"3 x 10-27",,NR,'-,'-,'-,"ATXN2, SH2B3","Type 1 diabetes","type I diabetes mellitus",GCST000392,12:111446804
rs3825932-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,CTSH,"Type 1 diabetes","type I diabetes mellitus",GCST000392,15:78943104
rs1893217-<b>?</b>,"4 x 10-15",,NR,'-,'-,'-,PTPN2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,18:12809341
rs11203203-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,UBASH3A,"Type 1 diabetes","type I diabetes mellitus",GCST000392,21:42416077
rs3024505-<b>?</b>,"2 x 10-9",,0.83,1.19,'-,[1.10-1.30],"IL10, AL591846.1","Type 1 diabetes","type I diabetes mellitus",GCST000392,1:206766559
rs9388489-<b>G</b>,"4 x 10-13",,0.45,1.17,'-,[1.10-1.24],AL356534.1,"Type 1 diabetes","type I diabetes mellitus",GCST000392,6:126377573
rs4948088-<b>?</b>,"4 x 10-8",,0.95,1.3,'-,[1.11-1.49],AC004830.2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,7:50959497
rs10509540-<b>?</b>,"1 x 10-28",,0.71,1.33,'-,[1.25-1.43],"RNLS, AL353149.1","Type 1 diabetes","type I diabetes mellitus",GCST000392,10:88263276
rs4763879-<b>A</b>,"2 x 10-11",,0.37,1.09,'-,[1.02-1.16],CD69,"Type 1 diabetes","type I diabetes mellitus",GCST000392,12:9757568
rs4900384-<b>G</b>,"4 x 10-9",,0.29,1.09,'-,[1.02-1.16],"LINC01550, AL163932.1","Type 1 diabetes","type I diabetes mellitus",GCST000392,14:98032614
rs7202877-<b>G</b>,"3 x 10-15",,0.10,1.28,'-,[1.17-1.41],"CTRB1, CTRB2","Type 1 diabetes","type I diabetes mellitus",GCST000392,16:75213347
rs2281808-<b>?</b>,"1 x 10-11",,0.64,1.11,'-,[1.05-1.19],SIRPG,"Type 1 diabetes","type I diabetes mellitus",GCST000392,20:1629905
rs5753037-<b>T</b>,"3 x 10-16",,0.39,1.1,'-,[1.04-1.17],AC002378.1,"Type 1 diabetes","type I diabetes mellitus",GCST000392,22:30185733
rs2269241-<b>G</b>,"4 x 10-7",,0.19,1.1,'-,[1.02-1.18],PGM1,"Type 1 diabetes","type I diabetes mellitus",GCST000392,1:63643100
rs1534422-<b>G</b>,"2 x 10-6",,0.46,1.08,'-,[1.02-1.15],MIR3681HG,"Type 1 diabetes","type I diabetes mellitus",GCST000392,2:12500615
rs9268645-<b>?</b>,"1 x 10-100",,NR,'-,'-,'-,HLA-DRA,"Type 1 diabetes","type I diabetes mellitus",GCST000392,6:32440750
rs2476601-<b>?</b>,"9 x 10-85",,NR,'-,'-,'-,"PTPN22, AL137856.1","Type 1 diabetes","type I diabetes mellitus",GCST000392,1:113834946
rs1990760-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,IFIH1,"Type 1 diabetes","type I diabetes mellitus",GCST000392,2:162267541
rs4505848-<b>?</b>,"5 x 10-13",,NR,'-,'-,'-,KIAA1109,"Type 1 diabetes","type I diabetes mellitus",GCST000392,4:122211337
rs2290400-<b>?</b>,"6 x 10-13",,0.50,1.15,'-,[1.08-1.22],GSDMB,"Type 1 diabetes","type I diabetes mellitus",GCST000392,17:39909987
rs3087243-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,"CTLA4, ICOS","Type 1 diabetes","type I diabetes mellitus",GCST000392,2:203874196
rs7804356-<b>?</b>,"5 x 10-9",,0.76,1.14,'-,[1.06-1.22],SKAP2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,7:26852046
rs16956936-<b>?</b>,"5 x 10-7",,0.86,1.09,'-,[1.00-1.19],DNAH2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,17:7730374
rs425105-<b>?</b>,"3 x 10-11",,0.84,1.16,'-,[1.08-1.27],PRKD2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,19:46705224
rs7221109-<b>?</b>,"1 x 10-9",,0.65,1.05,'-,[0.99-1.12],"AC004585.2, SMARCE1","Type 1 diabetes","type I diabetes mellitus",GCST000392,17:40614034
rs2664170-<b>G</b>,"8 x 10-9",,0.32,1.16,'-,[1.07-1.24],GAB3,"Type 1 diabetes","type I diabetes mellitus",GCST000392,X:154717327
rs12444268-<b>A</b>,"2 x 10-7",,0.30,1.1,'-,[1.03-1.17],"UMOD, GP2","Type 1 diabetes","type I diabetes mellitus",GCST000392,16:20331250
rs11755527-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,BACH2,"Type 1 diabetes","type I diabetes mellitus",GCST000392,6:90248512
rs12251307-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"RBM17, RPL32P23","Type 1 diabetes","type I diabetes mellitus",GCST000392,10:6081532
rs7111341-<b>?</b>,"4 x 10-48",,NR,'-,'-,'-,"ASCL2, MIR4686","Type 1 diabetes","type I diabetes mellitus",GCST000392,11:2191936
rs12708716-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST000392,16:11086016
rs229541-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,C1QTNF6,"Type 1 diabetes","type I diabetes mellitus",GCST000392,22:37195278
rs10517086-<b>A</b>,"5 x 10-10",,0.30,1.09,'-,[1.02-1.17],LINC02357,"Type 1 diabetes","type I diabetes mellitus",GCST000392,4:26083889
rs7020673-<b>?</b>,"5 x 10-12",,0.50,1.14,'-,[1.08-1.20],GLIS3,"Type 1 diabetes","type I diabetes mellitus",GCST000392,9:4291747
rs1465788-<b>?</b>,"2 x 10-12",,0.71,1.16,'-,[1.10-1.25],"MAGOH3P, ZFP36L1","Type 1 diabetes","type I diabetes mellitus",GCST000392,14:68796882
rs4788084-<b>G</b>,"3 x 10-13",,0.42,1.09,'-,[1.02-1.16],"IL27, NUPR1","Type 1 diabetes","type I diabetes mellitus",GCST000392,16:28528527
rs1701704-<b>C</b>,"9 x 10-10",,0.35,1.25,'-,[1.12-1.40],IKZF4,"Type 1 diabetes","type I diabetes mellitus",GCST000141,12:56018703
rs11755527-<b>G</b>,"5 x 10-12",,0.47,1.13,'-,[1.08-1.19],BACH2,"Type 1 diabetes","type I diabetes mellitus",GCST000258,6:90248512
rs947474-<b>G</b>,"4 x 10-9",,0.19,1.1,'-,[1.03-1.18],LINC02649,"Type 1 diabetes","type I diabetes mellitus",GCST000258,10:6348488
rs3825932-<b>T</b>,"3 x 10-15",,0.68,1.16,'-,[1.10-1.22],CTSH,"Type 1 diabetes","type I diabetes mellitus",GCST000258,15:78943104
rs229541-<b>T</b>,"2 x 10-8",,0.43,1.11,'-,[1.05-1.16],C1QTNF6,"Type 1 diabetes","type I diabetes mellitus",GCST000258,22:37195278
rs416603-<b>T</b>,"3 x 10-6",,0.44,1.06,'-,[1.01-1.12],RMI2,"Type 1 diabetes","type I diabetes mellitus",GCST000258,16:11270222
rs6679677-<b>A</b>,"1 x 10-40",,NR,'-,'-,'-,"PHTF1, RSBN1","Type 1 diabetes","type I diabetes mellitus",GCST000258,1:113761186
rs3087243-<b>A</b>,"8 x 10-11",,NR,'-,'-,'-,"CTLA4, ICOS","Type 1 diabetes","type I diabetes mellitus",GCST000258,2:203874196
rs17696736-<b>G</b>,"6 x 10-18",,NR,'-,'-,'-,NAA25,"Type 1 diabetes","type I diabetes mellitus",GCST000258,12:112049014
rs2292239-<b>A</b>,"3 x 10-16",,NR,'-,'-,'-,ERBB3,"Type 1 diabetes","type I diabetes mellitus",GCST000258,12:56088396
rs2542151-<b>C</b>,"9 x 10-8",,NR,'-,'-,'-,"AP005482.2, PTPN2","Type 1 diabetes","type I diabetes mellitus",GCST000258,18:12779948
rs9272346-<b>G</b>,"6 x 10-129",,NR,'-,'-,'-,HLA-DQA1,"Type 1 diabetes","type I diabetes mellitus",GCST000258,6:32636595
rs2165738-<b>C</b>,"4 x 10-6",,0.27,1.07,'-,[1.01-1.13],"NCOA1, AC093798.1","Type 1 diabetes","type I diabetes mellitus",GCST000258,2:24469940
rs12251307-<b>T</b>,"2 x 10-6",,NR,'-,'-,'-,"RBM17, RPL32P23","Type 1 diabetes","type I diabetes mellitus",GCST000258,10:6081532
rs12708716-<b>G</b>,"7 x 10-13",,NR,'-,'-,'-,CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST000258,16:11086016
rs3024505-<b>G</b>,"5 x 10-10",,NR,1.2,'-,[NR],"IL10, AL591846.1","Type 1 diabetes","type I diabetes mellitus",GCST001191,1:206766559
rs1990760-<b>C</b>,"2 x 10-14",,NR,1.2,'-,[NR],IFIH1,"Type 1 diabetes","type I diabetes mellitus",GCST001191,2:162267541
rs17388568-<b>A</b>,"6 x 10-6",,NR,1.1,'-,[NR],ADAD1,"Type 1 diabetes","type I diabetes mellitus",GCST001191,4:122408207
rs12722495-<b>A</b>,"1 x 10-38",,NR,1.61,'-,[NR],IL2RA,"Type 1 diabetes","type I diabetes mellitus",GCST001191,10:6055320
rs1004446-<b>G</b>,"3 x 10-23",,NR,1.4,'-,[NR],"INS-IGF2, AC132217.2","Type 1 diabetes","type I diabetes mellitus",GCST001191,11:2148913
rs2292239-<b>T</b>,"3 x 10-27",,NR,1.3,'-,[NR],ERBB3,"Type 1 diabetes","type I diabetes mellitus",GCST001191,12:56088396
rs12708716-<b>G</b>,"5 x 10-14",,NR,1.2,'-,[NR],CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST001191,16:11086016
rs3788013-<b>A</b>,"1 x 10-7",,NR,1.1,'-,[NR],UBASH3A,"Type 1 diabetes","type I diabetes mellitus",GCST001191,21:42421219
rs743777-<b>G</b>,"2 x 10-6",,NR,1.1,'-,[NR],IL2RB,"Type 1 diabetes","type I diabetes mellitus",GCST001191,22:37155567
rs3087243-<b>A</b>,"2 x 10-17",,NR,1.2,'-,[NR],"CTLA4, ICOS","Type 1 diabetes","type I diabetes mellitus",GCST001191,2:203874196
rs2069762-<b>A</b>,"5 x 10-7",,NR,1.12,'-,[NR],"IL2, IL21","Type 1 diabetes","type I diabetes mellitus",GCST001191,4:122456825
rs4788084-<b>C</b>,"1 x 10-8",,NR,1.15,'-,[NR],"IL27, NUPR1","Type 1 diabetes","type I diabetes mellitus",GCST001191,16:28528527
rs763361-<b>C</b>,"1 x 10-9",,NR,1.12,'-,[NR],CD226,"Type 1 diabetes","type I diabetes mellitus",GCST001191,18:69864406
rs2304256-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,TYK2,"Type 1 diabetes","type I diabetes mellitus",GCST001191,19:10364976
rs2476601-<b>A</b>,"2 x 10-111",,NR,2,'-,[NR],"PTPN22, AL137856.1","Type 1 diabetes","type I diabetes mellitus",GCST001191,1:113834946
rs3184504-<b>T</b>,"2 x 10-38",,NR,1.3,'-,[NR],"ATXN2, SH2B3","Type 1 diabetes","type I diabetes mellitus",GCST001191,12:111446804
rs7171171-<b>G</b>,"2 x 10-7",,NR,'-,'-,'-,"RASGRP1, LINC02694","Type 1 diabetes","type I diabetes mellitus",GCST001191,15:38614840
rs11755527-<b>G</b>,"3 x 10-8",,NR,1.1,'-,[NR],BACH2,"Type 1 diabetes","type I diabetes mellitus",GCST001191,6:90248512
rs1701704-<b>T</b>,"5 x 10-18",,NR,1.25,'-,[NR],IKZF4,"Type 1 diabetes","type I diabetes mellitus",GCST001191,12:56018703
rs2872507-<b>A</b>,"2 x 10-6",,NR,1.1,'-,[NR],"ZPBP2, GSDMB","Type 1 diabetes","type I diabetes mellitus",GCST001191,17:39884510
rs689-<b>A</b>,"5 x 10-196",,NR,'-,'-,'-,"INS-IGF2, INS","Type 1 diabetes","type I diabetes mellitus",GCST001191,11:2160994
rs2542151-<b>G</b>,"4 x 10-13",,NR,1.3,'-,[NR],"AP005482.2, PTPN2","Type 1 diabetes","type I diabetes mellitus",GCST001191,18:12779948
rs7528684-<b>T</b>,"8 x 10-9",,NR,1.45,'-,'-,"AL356276.2, FCRL3","Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes","type I diabetes mellitus, autoantibody measurement",GCST004381,1:157701026
rs657152-<b>G</b>,"1 x 10-13",,'-,2.94,'-,[2.13-4.00],ABO,"Gastric parietal cell autoantibody levels in type 1 diabetes","type I diabetes mellitus, autoantibody measurement",GCST004382,9:133263862
rs11755527-<b>G</b>,"1 x 10-6",,'-,1.2,'-,'-,BACH2,"Thyroid peroxidase autoantibody levels in type 1 diabetes","type I diabetes mellitus, thyroid peroxidase antibody measurement",GCST004383,6:90248512
rs3864055-<b>T</b>,"6 x 10-6",,NR,1.79,'-,[1.39-2.31],"AC090955.2, AC090955.1","Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,3:5093886
rs12644905-<b>C</b>,"4 x 10-6",,NR,1.91,'-,[1.45-2.52],"ACSL1, CENPU","Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,4:184755529
rs12203596-<b>C</b>,"6 x 10-6",,NR,2.84,'-,[1.78-4.53],STMND1,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,6:17120009
rs9356171-<b>A</b>,"9 x 10-6",,NR,1.9,'-,[1.43-2.52],AL078602.1,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,6:163922743
rs7871386-<b>C</b>,"5 x 10-6",,NR,2.54,'-,[1.69-3.83],AL391117.1,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,9:23166744
rs5790666-<b>?</b>,"8 x 10-9",,NR,2.32,'-,[1.65-3.26],AC103796.1,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,11:27778324
rs11170445-<b>T</b>,"8 x 10-9",,NR,1.96,'-,[1.56-2.46],"EIF4A1P4, HIGD1AP1","Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,12:53151908
rs178050-<b>A</b>,"7 x 10-6",,NR,1.66,'-,[1.33-2.07],PI4KA,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,22:20814301
rs9268853-<b>?</b>,"2 x 10-23",,NR,3.18,'-,[2.53-4.01],HLA-DRB9,"Fulminant type 1 diabetes","type I diabetes mellitus",GCST007433,6:32461866
rs114631266-<b>C</b>,"2 x 10-6",,0.974,'-,"0.284 unit increase",[0.17-0.4],AL662791.2,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:29058810
rs2471863-<b>C</b>,"8 x 10-7",,0.526,'-,"0.057 unit increase",[0.033-0.081],"HLA-K, HLA-U","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:29931850
rs34941730-<b>G</b>,"2 x 10-9",,0.119,'-,"0.102 unit decrease",[0.069-0.135],"HLA-A, HLA-W","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:29946109
rs45626136-<b>C</b>,"1 x 10-6",,0.939,'-,"0.111 unit increase",[0.066-0.156],"TRIM39-RPP21, RPP21","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:30345252
rs1265057-<b>C</b>,"2 x 10-6",,0.491,'-,"0.053 unit decrease",[0.031-0.075],"RNU6-1133P, C6orf15","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:31110838
rs116763857-<b>G</b>,"1 x 10-14",,0.027,'-,"0.295 unit decrease",[0.22-0.37],POU5F1,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:31173705
rs9264758-<b>G</b>,"3 x 10-7",,0.866,'-,"0.082 unit increase",[0.051-0.113],"HLA-B, RPL3P2","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:31280657
rs3093664-<b>G</b>,"3 x 10-7",,0.048,'-,"0.13 unit increase",[0.081-0.179],TNF,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:31576865
rs3134938-<b>C</b>,"8 x 10-7",,0.832,'-,"0.076 unit decrease",[0.047-0.105],"NOTCH4, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32238711
rs926592-<b>C</b>,"6 x 10-6",,0.658,'-,"0.059 unit increase",[0.034-0.084],"TSBP1, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32337881
rs3135365-<b>C</b>,"9 x 10-6",,0.022,'-,"0.202 unit increase",[0.11-0.29],"HLA-DRA, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32421478
rs9268576-<b>C</b>,"2 x 10-8",,0.359,'-,"0.111 unit decrease",[0.072-0.15],"HLA-DRA, TSBP1-AS1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32427864
rs7760731-<b>C</b>,"6 x 10-11",,0.642,'-,"0.087 unit increase",[0.062-0.112],"HLA-DQA1, HLA-DRB1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32615624
rs9275358-<b>G</b>,"3 x 10-7",,0.475,'-,"0.083 unit decrease",[0.052-0.114],"HLA-DQB1, MTCO3P1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:32700118
