"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs449647-<b>A</b>,"9 x 10-22",,0.887,1.6129031,'-,[1.45-1.79],"TOMM40, APOE","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44905307
rs78986976-<b>G</b>,"5 x 10-8",,0.968,1.5384616,'-,[1.32-1.79],"BCAM, NECTIN2","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44826181
rs35568738-<b>G</b>,"9 x 10-10",,0.953,1.4925373,'-,[1.32-1.69],TOMM40,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44899461
rs71352239-<b>C</b>,"3 x 10-14",,0.807,1.4492754,'-,[1.32-1.59],"APOC1, APOC1P1","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44926286
rs2967668-<b>A</b>,"3 x 10-11",,0.913,1.4084507,'-,[1.28-1.56],CBLC,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44799694
rs76692773-<b>C</b>,"4 x 10-9",,0.937,1.4084507,'-,[1.27-1.59],TOMM40,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44890954
rs4803748-<b>C</b>,"3 x 10-16",,0.617,1.2820514,'-,[1.22-1.37],"AC243964.2, BCL3","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44743791
rs3851179-<b>C</b>,"1 x 10-8",,0.648,1.1764705,'-,[1.11-1.23],"LINC02695, RNU6-560P","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,11:86157598
rs13025717-<b>T</b>,"8 x 10-10",,0.295,1.2,'-,[1.13-1.28],"AC110926.2, BIN1","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,2:127128582
rs3818361-<b>A</b>,"5 x 10-9",,0.204,1.21,'-,[1.14-1.29],CR1,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,1:207611623
rs35336243-<b>T</b>,"2 x 10-9",,0.293,1.24,'-,[1.15-1.33],"APOC1P1, APOC4","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44939262
rs7561528-<b>A</b>,"2 x 10-15",,0.37,1.26,'-,[1.19-1.33],"BIN1, AC110926.2","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,2:127132061
rs79638902-<b>T</b>,"1 x 10-10",,0.127,1.33,'-,[1.22-1.45],AC243964.3,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44718495
rs74846209-<b>T</b>,"9 x 10-16",,0.101,1.43,'-,[1.31-1.56],"MARK4, PPP1R37","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:45146841
rs6859-<b>A</b>,"7 x 10-39",,0.47,1.44,'-,[1.36-1.52],NECTIN2,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44878777
rs4803764-<b>C</b>,"1 x 10-34",,0.282,1.52,'-,[1.42-1.63],NECTIN2,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44854120
rs192775394-<b>C</b>,"8 x 10-9",,0.018,1.88,'-,[1.52-2.33],"MARK4, TRAPPC6A","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:45168224
rs60049679-<b>C</b>,"1 x 10-17",,0.038,2.07,'-,[1.75-2.44],"APOC1, APOC1P1","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44926451
rs144261139-<b>A</b>,"1 x 10-10",,0.012,2.37,'-,[1.82-3.09],"NECTIN2, AC011481.2","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44882099
rs78194510-<b>?</b>,"4 x 10-9",,'-,'-,'-,'-,SCARB1,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,12:124853790
rs759819-<b>?</b>,"6 x 10-12",,'-,'-,'-,'-,AC245884.2,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:54304302
rs12805422-<b>?</b>,"2 x 10-13",,'-,'-,'-,'-,AC044839.3,"Alzheimer's disease or fasting glucose levels (pleiotropy)","Alzheimer's disease, fasting blood glucose measurement",GCST007825,11:45818338
rs1483121-<b>?</b>,"6 x 10-10",,'-,'-,'-,'-,"OR4S1, OR4C3","Alzheimer's disease or fasting glucose levels (pleiotropy)","Alzheimer's disease, fasting blood glucose measurement",GCST007825,11:48311808
rs17747324-<b>?</b>,"5 x 10-9",,'-,'-,'-,'-,TCF7L2,"Alzheimer's disease or fasting glucose levels (pleiotropy)","Alzheimer's disease, fasting blood glucose measurement",GCST007825,10:112992744
rs10501320-<b>?</b>,"3 x 10-16",,'-,'-,'-,'-,MADD,"Alzheimer's disease or fasting glucose levels (pleiotropy)","Alzheimer's disease, fasting blood glucose measurement",GCST007825,11:47272248
rs6656401-<b>?</b>,"4 x 10-15",,'-,'-,'-,'-,CR1,"Alzheimer's disease or fasting insulin levels (pleiotropy)","Alzheimer's disease, fasting blood insulin measurement",GCST007826,1:207518704
rs4803750-<b>?</b>,"7 x 10-13",,'-,'-,'-,'-,"AC243964.2, BCL3","Alzheimer's disease or fasting insulin levels (pleiotropy)","Alzheimer's disease, fasting blood insulin measurement",GCST007826,19:44744370
rs2279590-<b>?</b>,"1 x 10-17",,'-,'-,'-,'-,CLU,"Alzheimer's disease or fasting insulin levels (pleiotropy)","Alzheimer's disease, fasting blood insulin measurement",GCST007826,8:27598736
rs157595-<b>?</b>,"1 x 10-97",,'-,'-,'-,'-,"APOC1, APOC1P1","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44922203
rs261291-<b>?</b>,"4 x 10-84",,'-,'-,'-,'-,ALDH1A2,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,15:58387979
rs77301115-<b>?</b>,"7 x 10-74",,'-,'-,'-,'-,TOMM40,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44893716
rs58826447-<b>?</b>,"7 x 10-54",,'-,'-,'-,'-,"NECTIN2, BCAM","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44825122
rs406315-<b>?</b>,"5 x 10-50",,'-,'-,'-,'-,NECTIN2,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44880859
rs41290120-<b>?</b>,"3 x 10-36",,'-,'-,'-,'-,NECTIN2,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44879418
rs2740488-<b>?</b>,"9 x 10-33",,'-,'-,'-,'-,ABCA1,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,9:104899461
rs6733839-<b>?</b>,"3 x 10-25",,'-,'-,'-,'-,"BIN1, AC110926.2","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,2:127135234
rs141622900-<b>?</b>,"3 x 10-24",,'-,'-,'-,'-,"APOC1P1, APOC1","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44923535
rs12148780-<b>?</b>,"1 x 10-22",,'-,'-,'-,'-,ALDH1A2,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,15:58289090
rs7254723-<b>?</b>,"7 x 10-22",,'-,'-,'-,'-,AC011481.1,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44952664
rs2678379-<b>?</b>,"1 x 10-19",,'-,'-,'-,'-,APOB,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,2:21003688
rs10792832-<b>?</b>,"1 x 10-14",,'-,'-,'-,'-,"LINC02695, RNU6-560P","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,11:86156833
rs35816125-<b>?</b>,"2 x 10-12",,'-,'-,'-,'-,LIPG,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,18:49562460
rs10401176-<b>?</b>,"3 x 10-12",,'-,'-,'-,'-,BCL3,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44750234
rs5754166-<b>?</b>,"4 x 10-12",,'-,'-,'-,'-,UBE2L3,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,22:21576488
rs10426401-<b>?</b>,"3 x 10-11",,'-,'-,'-,'-,"AC243964.3, PVR","Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,19:44644419
rs10808026-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,EPHA1,"Alzheimer's disease or HDL levels (pleiotropy)","Alzheimer's disease, high density lipoprotein cholesterol measurement",GCST007827,7:143402040
rs141441332-<b>A</b>,"1 x 10-11",,0.012,2.57,'-,[1.96-3.38],"APOC4, APOC1P1","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44935318
rs28399664-<b>G</b>,"6 x 10-16",,0.017,2.59,'-,[2.06-3.26],"NECTIN2, BCAM","Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44821499
rs138607350-<b>G</b>,"6 x 10-14",,0.014,2.66,'-,[2.06-3.43],NECTIN2,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44860563
rs79701229-<b>A</b>,"2 x 10-9",,0.006,3.35,'-,[2.26-4.95],NECTIN2,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44881674
rs429358-<b>C</b>,"5 x 10-286",,0.248,3.93,'-,[3.65-4.23],APOE,"Alzheimer's disease (onset between ages 58 and 79)","Alzheimer's disease",GCST009496,19:44908684
rs2075650-<b>G</b>,"9 x 10-116",,'-,4.48,'-,[NR],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST002422,19:44892362
rs249153-<b>C</b>,"4 x 10-7",,'-,1.41,'-,[NR],NDUFA12,"Alzheimer's disease","Alzheimer's disease",GCST002422,12:94930613
rs13178362-<b>T</b>,"7 x 10-7",,'-,1.3333,'-,[NR],"HPRT1P2, AC018765.1","Alzheimer's disease","Alzheimer's disease",GCST002422,5:30178906
rs474951-<b>T</b>,"1 x 10-6",,'-,1.2658,'-,[NR],"MS4A3, AP000790.2","Alzheimer's disease","Alzheimer's disease",GCST002422,11:60071148
rs1552244-<b>A</b>,"2 x 10-6",,'-,1.32,'-,[NR],"FANCD2, FANCD2OS","Alzheimer's disease","Alzheimer's disease",GCST002422,3:10093893
rs79781504-<b>A</b>,"2 x 10-8","(between families)",NR,'-,"5.603 unit decrease",'-,"LINC01419, AC015522.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,8:83837822
rs146168866-<b>A</b>,"9 x 10-8","(within families)",NR,'-,"5.348 unit increase",'-,LAMP1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,13:113312674
rs75885813-<b>A</b>,"4 x 10-10","(within families)",NR,'-,"6.258 unit decrease",'-,RBFOX1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:7091262
rs56131196-<b>A</b>,"3 x 10-24","(within families)",NR,'-,"10.157 unit increase",'-,"APOC1, APOC1P1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,19:44919589
rs144191434-<b>A</b>,"2 x 10-7","(between families)",NR,'-,"5.189 unit increase",'-,ARVCF,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,22:20016577
rs2445130-<b>A</b>,"8 x 10-7","(between families)",NR,'-,"4.933 unit increase",'-,HSPG2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:21911229
rs56039743-<b>T</b>,"3 x 10-7","(between families)",NR,'-,"5.112 unit decrease",'-,UBXN11,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:26294315
rs12041233-<b>A</b>,"6 x 10-9","(between families)",NR,'-,"5.825 unit increase",'-,AL353604.1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:37287106
rs182798940-<b>T</b>,"7 x 10-7","(between families)",NR,'-,"4.971 unit increase",'-,"SZT2, HYI","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:43453815
rs143083071-<b>A</b>,"1 x 10-8","(between families)",NR,'-,"5.734 unit increase",'-,AL445433.2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:99242198
rs11588387-<b>T</b>,"1 x 10-6","(between families)",NR,'-,"4.893 unit increase",'-,AHCYL1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:109995242
rs79036927-<b>A</b>,"1 x 10-6","(between families)",NR,'-,"4.896 unit decrease",'-,"AL358875.1, NMNAT1P2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:164275038
rs181424343-<b>A</b>,"8 x 10-8","(within families)",NR,'-,"5.375 unit increase",'-,TGFB2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:218421142
rs36060340-<b>A</b>,"7 x 10-7","(between families)",NR,'-,"4.975 unit increase",'-,"AL360006.1, RNU4-77P","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,1:233487182
rs148822902-<b>C</b>,"1 x 10-6","(between families)",NR,'-,"4.901 unit decrease",'-,"AC073143.1, RNU6-649P","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:4989398
rs75009721-<b>T</b>,"2 x 10-8","(between families)",NR,'-,"5.66 unit increase",'-,ITSN2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:24254185
rs183562580-<b>A</b>,"6 x 10-7","(within families)",NR,'-,"4.996 unit decrease",'-,OTOF,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:26471784
rs186552003-<b>A</b>,"8 x 10-7","(within families)",NR,'-,"4.943 unit increase",'-,MSH2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:47443115
rs186166314-<b>A</b>,"9 x 10-8","(between families)",NR,'-,"5.355 unit decrease",'-,"FOXN2, AC093635.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:48435898
rs191975838-<b>T</b>,"5 x 10-8","(between families)",NR,'-,"5.467 unit decrease",'-,AC007402.1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:51894529
rs115291397-<b>A</b>,"2 x 10-9","(between families)",NR,'-,"6.033 unit decrease",'-,LINC01185,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:60832908
rs182928794-<b>T</b>,"8 x 10-7","(between families)",NR,'-,"4.927 unit increase",'-,"RAB1A, AC007318.2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:65140292
rs140661185-<b>A</b>,"1 x 10-6","(between families)",NR,'-,"4.893 unit decrease",'-,SPRED2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:65382753
rs2970989-<b>T</b>,"4 x 10-8","(between families)",NR,'-,"5.479 unit decrease",'-,"LINC01868, AC092168.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:100697607
rs186971130-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.311 unit increase",'-,LINC01965,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:104003000
rs62076840-<b>A</b>,"8 x 10-7","(between families)",NR,'-,"4.927 unit increase",'-,"AP001021.1, AP001021.3, L3MBTL4, AP001021.2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,18:5958062
rs183708309-<b>T</b>,"6 x 10-7","(between families)",NR,'-,"5.001 unit decrease",'-,LAMA1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,18:6974460
rs142176337-<b>T</b>,"8 x 10-8","(between families)",NR,'-,"5.36 unit decrease",'-,"PMAIP1, AC107990.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,18:59914255
rs138098194-<b>A</b>,"4 x 10-7","(between families)",NR,'-,"5.084 unit increase",'-,"CDH19, RNU6-1037P","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,18:66840171
rs148273964-<b>A</b>,"8 x 10-7","(between families)",NR,'-,"4.936 unit decrease",'-,"RAB3D, AC011472.3, TSPAN16, AC011472.2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,19:11323255
rs9304861-<b>A</b>,"4 x 10-7","(between families)",NR,'-,"5.082 unit decrease",'-,"LINC01801, AC020910.3","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,19:34780984
rs2927694-<b>C</b>,"8 x 10-7","(between families)",NR,'-,"4.928 unit increase",'-,"AC022137.4, ZNF813","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,19:53470531
rs113118940-<b>T</b>,"1 x 10-8","(between families)",NR,'-,"5.733 unit increase",'-,AL109954.2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,20:23514209
rs147525344-<b>T</b>,"5 x 10-9","(between families)",NR,'-,"5.856 unit decrease",'-,"CSTP2, CST1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,20:23762403
rs115786578-<b>A</b>,"6 x 10-7","(between families)",NR,'-,"4.992 unit increase",'-,"AL031668.2, ASIP","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,20:34149795
rs147775533-<b>T</b>,"6 x 10-7","(between families)",NR,'-,"4.993 unit increase",'-,"LINC01271, RN7SL636P","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,20:50382958
rs2409317-<b>T</b>,"4 x 10-7","(between families)",NR,'-,"5.088 unit decrease",'-,"AF207955.1, AF165147.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,21:28702102
rs147991290-<b>T</b>,"3 x 10-9","(between families)",NR,'-,"5.943 unit decrease",'-,SYNJ1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,21:32716160
rs189677472-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.324 unit decrease",'-,"LINC01671, AP001626.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,21:42641102
rs857551-<b>A</b>,"7 x 10-7","(between families)",NR,'-,"4.949 unit increase",'-,"SIK1, AP001046.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,21:43410112
rs79985863-<b>T</b>,"8 x 10-7","(between families)",NR,'-,"4.925 unit increase",'-,COL18A1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,21:45486796
rs141503849-<b>T</b>,"5 x 10-7","(between families)",NR,'-,"5.042 unit increase",'-,"SEPTIN5, AC000067.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,22:19704370
rs117496069-<b>T</b>,"5 x 10-7","(between families)",NR,'-,"5.043 unit increase",'-,"TEX33, TST","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,22:37009621
rs150927461-<b>T</b>,"4 x 10-7","(between families)",NR,'-,"5.08 unit increase",'-,"BX284656.2, FP325330.2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,22:48098836
rs4420638-<b>A</b>,"2 x 10-16","(between families)",NR,'-,'-,'-,"APOC1P1, APOC1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,19:44919689
rs17639982-<b>C</b>,"8 x 10-9","(between families)",NR,'-,"5.774 unit decrease",'-,"AC092162.2, LINC01117","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:176778182
rs1347297-<b>T</b>,"5 x 10-8","(within families)",NR,'-,"5.469 unit increase",'-,OSBPL6,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,2:178380259
rs6927354-<b>T</b>,"5 x 10-8","(between families)",NR,'-,"5.44 unit decrease",'-,F13A1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,6:6316080
rs16887604-<b>T</b>,"3 x 10-8","(between families)",NR,'-,"5.544 unit increase",'-,"RNU6-248P, RNU6-261P","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,6:76439941
rs183826639-<b>T</b>,"1 x 10-12","(within families)",NR,'-,"7.098 unit increase",'-,"HNF4G, AC011029.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,8:75905029
rs56146971-<b>A</b>,"8 x 10-7","(between families)",NR,'-,"4.941 unit decrease",'-,"AL133153.2, PPP4R3A","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,14:91453757
rs117161928-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.294 unit decrease",'-,"FAM181A-AS1, FAM181A","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,14:93925359
rs57602116-<b>A</b>,"3 x 10-7","(between families)",NR,'-,"5.136 unit increase",'-,"AL121612.1, RPL15P2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,14:94816883
rs150511909-<b>T</b>,"4 x 10-9","(between families)",NR,'-,"5.892 unit decrease",'-,LINC02325,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,14:97442349
rs8033755-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.299 unit decrease",'-,HERC2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,15:28136400
rs149916999-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.334 unit increase",'-,TRPM1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,15:31116066
rs142200609-<b>T</b>,"3 x 10-7","(within families)",NR,'-,"5.118 unit increase",'-,THSD4,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,15:71449755
rs62013859-<b>T</b>,"4 x 10-7","(between families)",NR,'-,"5.094 unit increase",'-,AGBL1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,15:86283609
rs189794920-<b>A</b>,"6 x 10-7","(between families)",NR,'-,"4.999 unit decrease",'-,AC141586.1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:2608384
rs118099348-<b>T</b>,"1 x 10-9","(between families)",NR,'-,"6.05 unit increase",'-,TMC5,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:19423707
rs145049847-<b>C</b>,"8 x 10-9","(between families)",NR,'-,"5.771 unit decrease",'-,SDR42E2,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:22190681
rs77414823-<b>T</b>,"2 x 10-7","(between families)",NR,'-,"5.24 unit decrease",'-,"AC007603.3, RPL34P29","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:49948846
rs150252171-<b>A</b>,"2 x 10-7","(between families)",NR,'-,"5.224 unit decrease",'-,"AC009161.1, AC009110.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:62536445
rs79358781-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.268 unit increase",'-,AC105411.1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:80264653
rs137967137-<b>A</b>,"1 x 10-7","(between families)",NR,'-,"5.331 unit increase",'-,AC105411.1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:80433296
rs77894924-<b>A</b>,"2 x 10-7","(between families)",NR,'-,"5.208 unit increase",'-,CDH13,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:83521415
rs78910009-<b>T</b>,"5 x 10-7","(between families)",NR,'-,"5.024 unit increase",'-,"AC092327.1, LINC00917","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,16:86374577
rs111816999-<b>T</b>,"7 x 10-7","(between families)",NR,'-,"4.967 unit decrease",'-,ALOX12-AS1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:6979124
rs139471609-<b>A</b>,"6 x 10-8","(between families)",NR,'-,"5.433 unit increase",'-,COX10-AS1,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:13791198
rs56176358-<b>T</b>,"6 x 10-7","(between families)",NR,'-,"5.004 unit increase",'-,"CD300LG, MPP3","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:43843285
rs79480822-<b>T</b>,"7 x 10-7","(between families)",NR,'-,"4.952 unit increase",'-,DCAF7,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:63576864
rs34111070-<b>T</b>,"1 x 10-6","(between families)",NR,'-,"4.892 unit decrease",'-,"AC046185.1, STRADA","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:63716838
rs71377714-<b>T</b>,"3 x 10-7","(between families)",NR,'-,"5.128 unit increase",'-,TCAM1P,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:63852268
rs16973424-<b>A</b>,"3 x 10-7","(between families)",NR,'-,"5.144 unit decrease",'-,ABCA8,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:68907860
rs149464898-<b>T</b>,"3 x 10-7","(between families)",NR,'-,"5.136 unit increase",'-,"RPL12P37, AC127496.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,17:80973533
rs3850930-<b>A</b>,"6 x 10-7","(between families)",NR,'-,"4.991 unit increase",'-,TRIM51CP,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:48948392
rs2313143-<b>A</b>,"2 x 10-7","(between families)",NR,'-,"5.224 unit increase",'-,"GTF2IP11, AC109635.4","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:50114007
rs141218484-<b>T</b>,"9 x 10-8","(between families)",NR,'-,"5.336 unit decrease",'-,AHNAK,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:62481191
rs117983694-<b>A</b>,"7 x 10-8","(between families)",NR,'-,"5.399 unit decrease",'-,CCDC89,"Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:85685837
rs3911569-<b>A</b>,"3 x 10-7","(between families)",NR,'-,"5.145 unit increase",'-,"AP000787.1, AP001790.1","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:95362871
rs188168326-<b>T</b>,"9 x 10-8","(between families)",NR,'-,"5.352 unit increase",'-,"LINC02763, LINC02762","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:112392241
rs11220271-<b>A</b>,"5 x 10-7","(between families)",NR,'-,"5.033 unit increase",'-,"DDX25, AP000842.2","Alzheimer disease and age of onset","Alzheimer's disease, age at onset",GCST003427,11:125907477
