"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs4644046-<b>A</b>,"1 x 10-6",,0.5996,'-,"0.0275 unit increase",[0.016-0.039],"AL445529.1, AL365219.1","Coronary artery disease","coronary artery disease",GCST005196,6:51520211
rs9367716-<b>T</b>,"1 x 10-9",,0.3172,'-,"0.0375 unit decrease",[0.026-0.049],"RAB23, PRIM2","Coronary artery disease","coronary artery disease",GCST005196,6:57295774
rs4613862-<b>A</b>,"1 x 10-9",,0.5333,'-,"0.0345 unit increase",[0.023-0.046],LINC02542,"Coronary artery disease","coronary artery disease",GCST005196,6:81902554
rs9486719-<b>A</b>,"2 x 10-7",,0.2014,'-,"0.0413 unit decrease",[0.026-0.057],FHL5,"Coronary artery disease","coronary artery disease",GCST005196,6:96612248
rs1591805-<b>A</b>,"2 x 10-10",,0.4908,'-,"0.0412 unit increase",[0.028-0.054],AL356534.1,"Coronary artery disease","coronary artery disease",GCST005196,6:126395918
rs9493740-<b>T</b>,"2 x 10-7",,0.0255,'-,"0.1197 unit increase",[0.075-0.164],"LINC01312, TARID","Coronary artery disease","coronary artery disease",GCST005196,6:133839756
rs2327429-<b>T</b>,"3 x 10-31",,0.693,'-,"0.0723 unit increase",[0.06-0.084],TARID,"Coronary artery disease","coronary artery disease",GCST005196,6:133888699
rs2811686-<b>T</b>,"1 x 10-6",,0.7463,'-,"0.0312 unit decrease",[0.019-0.044],SLC2A12,"Coronary artery disease","coronary artery disease",GCST005196,6:134048286
rs2153219-<b>A</b>,"7 x 10-7",,0.8347,'-,"0.0429 unit increase",[0.026-0.06],"TAB2, ZC3H12D","Coronary artery disease","coronary artery disease",GCST005196,6:149434559
rs12663498-<b>T</b>,"1 x 10-9",,0.091,'-,"0.0591 unit decrease",[0.04-0.078],PLEKHG1,"Coronary artery disease","coronary artery disease",GCST005196,6:150682704
rs688359-<b>A</b>,"5 x 10-15",,0.6112,'-,"0.0526 unit decrease",[0.039-0.066],IGF2R,"Coronary artery disease","coronary artery disease",GCST005196,6:160044259
rs147555597-<b>A</b>,"3 x 10-31",,0.0088,'-,"0.3977 unit increase",[0.33-0.46],LPAL2,"Coronary artery disease","coronary artery disease",GCST005196,6:160490564
rs55730499-<b>T</b>,"3 x 10-154",,0.0686,'-,"0.3368 unit increase",[0.31-0.36],LPA,"Coronary artery disease","coronary artery disease",GCST005196,6:160584578
rs41272114-<b>T</b>,"3 x 10-11",,0.0361,'-,"0.1153 unit decrease",[0.081-0.149],LPA,"Coronary artery disease","coronary artery disease",GCST005196,6:160585045
rs41269133-<b>T</b>,"2 x 10-8",,0.9118,'-,"0.0637 unit increase",[0.041-0.086],AL109933.2,"Coronary artery disease","coronary artery disease",GCST005196,6:160666831
rs186696265-<b>T</b>,"5 x 10-92",,0.0131,'-,"0.5467 unit increase",[0.49-0.6],"AL109933.2, AL109933.1","Coronary artery disease","coronary artery disease",GCST005196,6:160690668
rs10267593-<b>A</b>,"5 x 10-9",,0.2052,'-,"0.0412 unit decrease",[0.027-0.055],"AC069288.1, MAD1L1","Coronary artery disease","coronary artery disease",GCST005196,7:1897625
rs11509880-<b>A</b>,"3 x 10-8",,0.3646,'-,"0.0367 unit increase",[0.024-0.05],TMEM106B,"Coronary artery disease","coronary artery disease",GCST005196,7:12222285
rs2107595-<b>A</b>,"4 x 10-24",,0.1802,'-,"0.0815 unit increase",[0.066-0.097],"TWIST1, HDAC9","Coronary artery disease","coronary artery disease",GCST005196,7:19009765
rs4719608-<b>A</b>,"4 x 10-6",,0.2686,'-,"0.0329 unit increase",[0.019-0.047],"AC005083.1, AC099342.1","Coronary artery disease","coronary artery disease",GCST005196,7:20252511
rs35146811-<b>A</b>,"2 x 10-6",,0.7245,'-,"0.0337 unit decrease",[0.02-0.048],"AC073842.2, CNPY4","Coronary artery disease","coronary artery disease",GCST005196,7:100123371
rs68170813-<b>T</b>,"6 x 10-6",,0.7654,'-,"0.0343 unit increase",[0.02-0.049],"BCAP29, DUS4L-BCAP29","Coronary artery disease","coronary artery disease",GCST005196,7:107619276
rs10249651-<b>T</b>,"4 x 10-8",,0.6232,'-,"0.0311 unit decrease",[0.02-0.042],"ASZ1, CFTR","Coronary artery disease","coronary artery disease",GCST005196,7:117424571
rs11556924-<b>T</b>,"1 x 10-24",,0.36,'-,"0.0618 unit decrease",[0.05-0.074],"AC073320.2, ZC3HC1","Coronary artery disease","coronary artery disease",GCST005196,7:130023656
rs11556924-<b>T</b>,"2 x 10-18",,0.3761,'-,"0.0575 unit decrease",[0.045-0.07],"AC073320.2, ZC3HC1","Coronary artery disease","coronary artery disease",GCST005196,7:130023656
rs7783857-<b>C</b>,"2 x 10-6",,0.7155,'-,"0.0297 unit decrease",[0.018-0.042],"AC016831.5, KLF14","Coronary artery disease","coronary artery disease",GCST005196,7:130754299
rs10237377-<b>T</b>,"9 x 10-11",,0.3637,'-,"0.0423 unit decrease",[0.03-0.055],PARP12,"Coronary artery disease","coronary artery disease",GCST005196,7:140057336
rs3918226-<b>T</b>,"3 x 10-21",,0.0724,'-,"0.1219 unit increase",[0.097-0.147],NOS3,"Coronary artery disease","coronary artery disease",GCST005196,7:150993088
rs6997340-<b>T</b>,"5 x 10-9",,0.305,'-,"0.036 unit increase",[0.024-0.048],"NAT2, PSD3","Coronary artery disease","coronary artery disease",GCST005196,8:18429487
rs6997330-<b>C</b>,"8 x 10-11",,0.044,'-,"0.1291 unit increase",[0.09-0.168],LPL,"Coronary artery disease","coronary artery disease",GCST005196,8:19943018
rs264-<b>A</b>,"6 x 10-12",,0.1412,'-,"0.0632 unit decrease",[0.045-0.081],LPL,"Coronary artery disease","coronary artery disease",GCST005196,8:19955669
rs11204085-<b>T</b>,"5 x 10-14",,0.5802,'-,"0.0432 unit increase",[0.032-0.054],AC100802.1,"Coronary artery disease","coronary artery disease",GCST005196,8:20083285
rs6984210-<b>C</b>,"2 x 10-11",,0.9382,'-,"0.0846 unit decrease",[0.06-0.109],BMP1,"Coronary artery disease","coronary artery disease",GCST005196,8:22176102
rs113756303-<b>T</b>,"9 x 10-7",,0.2192,'-,"0.0398 unit increase",[0.024-0.056],"AC079097.1, RNA5SP258","Coronary artery disease","coronary artery disease",GCST005196,8:26245256
rs12675257-<b>T</b>,"1 x 10-6",,0.135,'-,"0.0438 unit increase",[0.026-0.062],"RPS4XP10, GEM","Coronary artery disease","coronary artery disease",GCST005196,8:94267412
rs2342781-<b>C</b>,"2 x 10-7",,0.4863,'-,"0.0297 unit decrease",[0.019-0.041],ZFPM2,"Coronary artery disease","coronary artery disease",GCST005196,8:105253492
rs2954029-<b>A</b>,"1 x 10-25",,0.5421,'-,"0.0666 unit increase",[0.054-0.079],AC091114.1,"Coronary artery disease","coronary artery disease",GCST005196,8:125478730
rs2954029-<b>A</b>,"6 x 10-23",,0.5398,'-,"0.0546 unit increase",[0.044-0.065],AC091114.1,"Coronary artery disease","coronary artery disease",GCST005196,8:125478730
rs475957-<b>T</b>,"3 x 10-6",,0.1428,'-,"0.0437 unit decrease",[0.025-0.062],TTC39B,"Coronary artery disease","coronary artery disease",GCST005196,9:15229624
rs896655-<b>A</b>,"2 x 10-12",,0.5985,'-,"0.04 unit increase",[0.029-0.051],"RN7SL151P, AL359922.1","Coronary artery disease","coronary artery disease",GCST005196,9:21706572
rs3217978-<b>A</b>,"2 x 10-10",,0.0236,'-,"0.1546 unit decrease",[0.11-0.2],"AL359922.1, CDKN2B, CDKN2B-AS1","Coronary artery disease","coronary artery disease",GCST005196,9:22007331
rs1333049-<b>C</b>,"2 x 10-192",,0.4847,'-,"0.1879 unit increase",[0.18-0.2],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",GCST005196,9:22125504
rs1322052-<b>T</b>,"2 x 10-7",,0.7041,'-,"0.0337 unit increase",[0.021-0.046],TEK,"Coronary artery disease","coronary artery disease",GCST005196,9:27179246
rs4743150-<b>T</b>,"4 x 10-6",,0.2227,'-,"0.0355 unit decrease",[0.02-0.051],"ANP32B, HEMGN","Coronary artery disease","coronary artery disease",GCST005196,9:97977842
rs4149309-<b>A</b>,"5 x 10-6",,0.8413,'-,"0.0418 unit decrease",[0.024-0.06],ABCA1,"Coronary artery disease","coronary artery disease",GCST005196,9:104827299
rs1800978-<b>C</b>,"4 x 10-7",,0.8664,'-,"0.0438 unit increase",[0.027-0.061],ABCA1,"Coronary artery disease","coronary artery disease",GCST005196,9:104903697
rs944172-<b>T</b>,"1 x 10-11",,0.7197,'-,"0.0422 unit decrease",[0.03-0.054],"RNU6-1064P, RNU6-996P","Coronary artery disease","coronary artery disease",GCST005196,9:107755513
rs111245230-<b>T</b>,"8 x 10-9",,0.9647,'-,"0.098 unit decrease",[0.065-0.131],SVEP1,"Coronary artery disease","coronary artery disease",GCST005196,9:110407495
rs10818576-<b>T</b>,"8 x 10-9",,0.7561,'-,"0.0429 unit decrease",[0.028-0.057],DAB2IP,"Coronary artery disease","coronary artery disease",GCST005196,9:121650669
rs1476098-<b>A</b>,"9 x 10-10",,0.2122,'-,"0.0443 unit increase",[0.03-0.058],BCAS3,"Coronary artery disease","coronary artery disease",GCST005195,17:61159652
rs17608766-<b>T</b>,"8 x 10-10",,0.8632,'-,"0.0469 unit decrease",[0.032-0.062],"GOSR2, AC005670.2","Coronary artery disease","coronary artery disease",GCST005195,17:46935905
rs9892152-<b>T</b>,"6 x 10-11",,0.4717,'-,"0.033 unit decrease",[0.023-0.043],PECAM1,"Coronary artery disease","coronary artery disease",GCST005195,17:64324605
rs9319428-<b>A</b>,"5 x 10-11",,0.3121,'-,"0.036 unit increase",[0.025-0.047],FLT1,"Coronary artery disease","coronary artery disease",GCST005195,13:28399484
rs34991912-<b>T</b>,"3 x 10-11",,0.4344,'-,"0.0379 unit increase",[0.027-0.049],FGD5,"Coronary artery disease","coronary artery disease",GCST005195,3:14884844
rs4977574-<b>A</b>,"9 x 10-223",,0.519,'-,"0.1788 unit decrease",[0.17-0.19],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",GCST005195,9:22098575
rs651821-<b>T</b>,"7 x 10-13",,0.901,'-,"0.0692 unit decrease",[0.05-0.088],APOA5,"Coronary artery disease","coronary artery disease",GCST005195,11:116791863
rs170041-<b>T</b>,"4 x 10-17",,0.2943,'-,"0.0469 unit decrease",[0.036-0.058],SMG6,"Coronary artery disease","coronary artery disease",GCST005195,17:2266922
rs185244-<b>T</b>,"2 x 10-17",,0.1625,'-,"0.0644 unit increase",[0.05-0.079],MRAS,"Coronary artery disease","coronary artery disease",GCST005195,3:138374047
rs4803455-<b>A</b>,"2 x 10-17",,0.4954,'-,"0.0484 unit decrease",[0.037-0.06],TGFB1,"Coronary artery disease","coronary artery disease",GCST005195,19:41345604
rs9337951-<b>A</b>,"2 x 10-17",,0.3178,'-,"0.0543 unit increase",[0.042-0.067],JCAD,"Coronary artery disease","coronary artery disease",GCST005195,10:30028144
rs11057830-<b>A</b>,"2 x 10-18",,0.1465,'-,"0.0655 unit increase",[0.051-0.08],SCARB1,"Coronary artery disease","coronary artery disease",GCST005195,12:124822507
rs6544713-<b>T</b>,"2 x 10-18",,0.3038,'-,"0.0492 unit increase",[0.038-0.06],ABCG8,"Coronary artery disease","coronary artery disease",GCST005195,2:43846742
rs9515203-<b>T</b>,"4 x 10-23",,0.7392,'-,"0.0596 unit increase",[0.048-0.071],COL4A2,"Coronary artery disease","coronary artery disease",GCST005195,13:110397276
rs2327429-<b>T</b>,"4 x 10-31",,0.695,'-,"0.0655 unit increase",[0.055-0.076],TARID,"Coronary artery disease","coronary artery disease",GCST005195,6:133888699
rs6728861-<b>A</b>,"1 x 10-32",,0.1174,'-,"0.1054 unit increase",[0.088-0.123],WDR12,"Coronary artery disease","coronary artery disease",GCST005195,2:203009020
rs11613352-<b>T</b>,"5 x 10-9",,0.235,'-,"0.036 unit decrease",[0.024-0.048],R3HDM2,"Coronary artery disease","coronary artery disease",GCST005195,12:57398797
rs12801636-<b>A</b>,"2 x 10-11",,0.2364,'-,"0.0403 unit decrease",[0.029-0.052],PCNX3,"Coronary artery disease","coronary artery disease",GCST005195,11:65623846
rs10947789-<b>T</b>,"8 x 10-12",,0.7671,'-,"0.0413 unit increase",[0.03-0.053],KCNK5,"Coronary artery disease","coronary artery disease",GCST005195,6:39207146
rs1892094-<b>T</b>,"3 x 10-12",,0.4956,'-,"0.0362 unit decrease",[0.026-0.046],ATP1B1,"Coronary artery disease","coronary artery disease",GCST005195,1:169125221
rs16986953-<b>A</b>,"1 x 10-16",,0.1095,'-,"0.0812 unit increase",[0.062-0.1],"CISD1P1, AC019055.1","Coronary artery disease","coronary artery disease",GCST005195,2:19742712
rs11204892-<b>A</b>,"3 x 10-11",,0.1892,'-,"0.0487 unit decrease",[0.034-0.063],"AL589765.6, TDRKH-AS1","Coronary artery disease","coronary artery disease",GCST005195,1:151795572
rs10841443-<b>C</b>,"3 x 10-14",,0.3409,'-,"0.046 unit decrease",[0.034-0.058],LINC02398,"Coronary artery disease","coronary artery disease",GCST005195,12:20067099
rs11556924-<b>T</b>,"1 x 10-23",,0.3624,'-,"0.0548 unit decrease",[0.044-0.066],"AC073320.2, ZC3HC1","Coronary artery disease","coronary artery disease",GCST005195,7:130023656
rs62076439-<b>T</b>,"2 x 10-15",,0.3409,'-,"0.048 unit increase",[0.036-0.06],ZNF652,"Coronary artery disease","coronary artery disease",GCST005195,17:49327266
rs1807214-<b>A</b>,"5 x 10-11",,0.8891,'-,"0.0639 unit increase",[0.045-0.083],"AC013565.2, AC107954.1","Coronary artery disease","coronary artery disease",GCST005195,15:89022026
rs1050362-<b>A</b>,"3 x 10-11",,0.3755,'-,"0.0352 unit increase",[0.025-0.046],DHX38,"Coronary artery disease","coronary artery disease",GCST005195,16:72096916
rs2814944-<b>A</b>,"2 x 10-11",,0.1554,'-,"0.0479 unit increase",[0.034-0.062],"IFITM3P3, ILRUN","Coronary artery disease","coronary artery disease",GCST005195,6:34585020
rs35158675-<b>A</b>,"6 x 10-28",,0.6821,'-,"0.0699 unit increase",[0.057-0.082],MIA3,"Coronary artery disease","coronary artery disease",GCST005195,1:222656208
rs602633-<b>T</b>,"4 x 10-58",,0.2343,'-,"0.0999 unit decrease",[0.088-0.112],'-,"Coronary artery disease","coronary artery disease",GCST005195,"Mapping not available"
rs974819-<b>T</b>,"1 x 10-28",,0.3082,'-,"0.0614 unit increase",[0.051-0.072],AP002989.1,"Coronary artery disease","coronary artery disease",GCST005195,11:103789839
rs17081933-<b>A</b>,"1 x 10-8",,0.1979,'-,"0.0399 unit increase",[0.026-0.054],REST,"Coronary artery disease","coronary artery disease",GCST005195,4:56956703
rs2843152-<b>C</b>,"3 x 10-8",,0.2927,'-,"0.0406 unit increase",[0.026-0.055],"AL590822.3, SKI","Coronary artery disease","coronary artery disease",GCST005196,1:2314131
rs2493298-<b>A</b>,"2 x 10-9",,0.1352,'-,"0.0567 unit increase",[0.038-0.075],PRDM16,"Coronary artery disease","coronary artery disease",GCST005196,1:3409348
rs17037390-<b>A</b>,"2 x 10-7",,0.1674,'-,"0.0395 unit decrease",[0.025-0.054],MTHFR,"Coronary artery disease","coronary artery disease",GCST005196,1:11800786
rs35465346-<b>A</b>,"9 x 10-6",,0.1628,'-,"0.0401 unit decrease",[0.022-0.058],"USP48, LDLRAD2","Coronary artery disease","coronary artery disease",GCST005196,1:21806025
rs4072980-<b>A</b>,"7 x 10-10",,0.433,'-,"0.0353 unit decrease",[0.024-0.046],"SF3A3, RNU6-510P","Coronary artery disease","coronary artery disease",GCST005196,1:37990434
rs11591147-<b>T</b>,"2 x 10-25",,0.0163,'-,"0.2821 unit decrease",[0.23-0.34],PCSK9,"Coronary artery disease","coronary artery disease",GCST005196,1:55039974
rs4634932-<b>T</b>,"1 x 10-25",,0.9213,'-,"0.1286 unit increase",[0.1-0.15],PLPP3,"Coronary artery disease","coronary artery disease",GCST005196,1:56530519
rs17416285-<b>C</b>,"4 x 10-13",,0.8894,'-,"0.0669 unit decrease",[0.049-0.085],PLPP3,"Coronary artery disease","coronary artery disease",GCST005196,1:56554977
rs950037-<b>T</b>,"2 x 10-6",,0.6091,'-,"0.0274 unit decrease",[0.016-0.039],PKN2,"Coronary artery disease","coronary artery disease",GCST005196,1:88685915
rs602633-<b>T</b>,"2 x 10-59",,0.2346,'-,"0.112 unit decrease",[0.098-0.126],'-,"Coronary artery disease","coronary artery disease",GCST005196,"Mapping not available"
rs11806316-<b>A</b>,"5 x 10-10",,0.3665,'-,"0.0369 unit decrease",[0.025-0.048],"AL049825.1, LINC01765","Coronary artery disease","coronary artery disease",GCST005196,1:115210861
rs11204666-<b>T</b>,"3 x 10-7",,0.1835,'-,"0.0389 unit decrease",[0.024-0.054],ADAMTSL4-AS1,"Coronary artery disease","coronary artery disease",GCST005196,1:150570652
rs11810571-<b>C</b>,"2 x 10-11",,0.1939,'-,"0.0553 unit decrease",[0.039-0.071],TDRKH,"Coronary artery disease","coronary artery disease",GCST005196,1:151789832
rs4845625-<b>T</b>,"6 x 10-16",,0.436,'-,"0.0448 unit increase",[0.034-0.056],IL6R,"Coronary artery disease","coronary artery disease",GCST005196,1:154449591
rs1892094-<b>T</b>,"4 x 10-13",,0.4924,'-,"0.0413 unit decrease",[0.03-0.052],ATP1B1,"Coronary artery disease","coronary artery disease",GCST005196,1:169125221
rs6700559-<b>T</b>,"4 x 10-9",,0.4718,'-,"0.0325 unit decrease",[0.022-0.043],DDX59-AS1,"Coronary artery disease","coronary artery disease",GCST005196,1:200676945
rs2820315-<b>T</b>,"3 x 10-11",,0.3,'-,"0.0405 unit increase",[0.029-0.052],LMOD1,"Coronary artery disease","coronary artery disease",GCST005196,1:201903136
rs11571537-<b>T</b>,"8 x 10-6",,0.9533,'-,"0.0631 unit decrease",[0.035-0.091],ATF3,"Coronary artery disease","coronary artery disease",GCST005196,1:212613683
rs17465637-<b>A</b>,"8 x 10-31",,0.2903,'-,"0.0817 unit decrease",[0.068-0.096],MIA3,"Coronary artery disease","coronary artery disease",GCST005196,1:222650187
rs2281719-<b>T</b>,"3 x 10-7",,0.5775,'-,"0.0289 unit decrease",[0.018-0.04],GALNT2,"Coronary artery disease","coronary artery disease",GCST005196,1:230161913
rs699-<b>A</b>,"2 x 10-8",,0.5795,'-,"0.036 unit decrease",[0.023-0.049],AGT,"Coronary artery disease","coronary artery disease",GCST005196,1:230710048
rs16986953-<b>A</b>,"1 x 10-15",,0.1162,'-,"0.0855 unit increase",[0.065-0.106],"CISD1P1, AC019055.1","Coronary artery disease","coronary artery disease",GCST005196,2:19742712
rs668948-<b>A</b>,"2 x 10-17",,0.815,'-,"0.063 unit increase",[0.048-0.078],"APOB, AC010872.2","Coronary artery disease","coronary artery disease",GCST005196,2:21068657
rs1550115-<b>T</b>,"3 x 10-7",,0.7413,'-,"0.0321 unit decrease",[0.02-0.044],CENPO,"Coronary artery disease","coronary artery disease",GCST005196,2:24818751
rs2052923-<b>T</b>,"3 x 10-7",,0.7135,'-,"0.0316 unit decrease",[0.019-0.044],"AC010883.3, LINC02580","Coronary artery disease","coronary artery disease",GCST005196,2:43184681
rs10495907-<b>A</b>,"2 x 10-7",,0.1462,'-,"0.041 unit increase",[0.026-0.056],"PLEKHH2, RN7SKP66","Coronary artery disease","coronary artery disease",GCST005196,2:43771587
rs6544713-<b>T</b>,"6 x 10-19",,0.3018,'-,"0.0549 unit increase",[0.043-0.067],ABCG8,"Coronary artery disease","coronary artery disease",GCST005196,2:43846742
rs898123-<b>C</b>,"3 x 10-6",,0.6593,'-,"0.0287 unit decrease",[0.017-0.041],"MPHOSPH10, AC007881.1","Coronary artery disease","coronary artery disease",GCST005196,2:71152220
rs1561198-<b>T</b>,"2 x 10-23",,0.4568,'-,"0.0549 unit increase",[0.044-0.066],"VAMP8, VAMP5","Coronary artery disease","coronary artery disease",GCST005196,2:85582866
rs10186133-<b>T</b>,"1 x 10-6",,0.5962,'-,"0.0281 unit decrease",[0.017-0.039],"RNU6-1180P, IL1F10","Coronary artery disease","coronary artery disease",GCST005196,2:113079367
rs2923-<b>C</b>,"4 x 10-6",,0.9616,'-,"0.0743 unit decrease",[0.043-0.106],WDR33,"Coronary artery disease","coronary artery disease",GCST005196,2:127706044
rs78490412-<b>T</b>,"1 x 10-7",,0.1699,'-,"0.0449 unit decrease",[0.028-0.062],"AC079793.1, ARHGAP15","Coronary artery disease","coronary artery disease",GCST005196,2:143405256
rs17678683-<b>T</b>,"3 x 10-7",,0.9108,'-,"0.056 unit decrease",[0.034-0.078],LINC01412,"Coronary artery disease","coronary artery disease",GCST005196,2:144528992
rs2252641-<b>T</b>,"7 x 10-13",,0.5285,'-,"0.0401 unit decrease",[0.029-0.051],TEX41,"Coronary artery disease","coronary artery disease",GCST005196,2:145043894
rs33998987-<b>T</b>,"1 x 10-7",,0.6613,'-,"0.0374 unit increase",[0.024-0.051],KCNH7,"Coronary artery disease","coronary artery disease",GCST005196,2:162427557
rs12619842-<b>C</b>,"6 x 10-11",,0.1811,'-,"0.0549 unit decrease",[0.038-0.071],AC016766.1,"Coronary artery disease","coronary artery disease",GCST005196,2:164088534
rs840616-<b>T</b>,"3 x 10-9",,0.3542,'-,"0.0402 unit decrease",[0.027-0.054],AC007319.1,"Coronary artery disease","coronary artery disease",GCST005196,2:187331742
rs115654617-<b>A</b>,"2 x 10-32",,0.1157,'-,"0.1179 unit increase",[0.098-0.137],NBEAL1,"Coronary artery disease","coronary artery disease",GCST005196,2:203029276
rs1250229-<b>T</b>,"3 x 10-19",,0.2621,'-,"0.0644 unit increase",[0.05-0.079],"AC012462.1, AC012462.3","Coronary artery disease","coronary artery disease",GCST005196,2:215439661
rs2571445-<b>A</b>,"1 x 10-12",,0.3897,'-,"0.041 unit increase",[0.03-0.052],TNS1,"Coronary artery disease","coronary artery disease",GCST005196,2:217818431
rs2943634-<b>A</b>,"2 x 10-9",,0.3324,'-,"0.0409 unit decrease",[0.028-0.054],"MIR5702, AC062015.1","Coronary artery disease","coronary artery disease",GCST005196,2:226203364
rs4566357-<b>A</b>,"7 x 10-6",,0.3873,'-,"0.026 unit increase",[0.015-0.037],COL4A4,"Coronary artery disease","coronary artery disease",GCST005196,2:227057299
rs1801251-<b>A</b>,"3 x 10-10",,0.3568,'-,"0.0416 unit increase",[0.029-0.055],"GIGYF2, KCNJ13","Coronary artery disease","coronary artery disease",GCST005196,2:232768750
rs1405130-<b>T</b>,"1 x 10-8",,0.5054,'-,"0.0325 unit increase",[0.021-0.044],"ARL4C, LINC01173","Coronary artery disease","coronary artery disease",GCST005196,2:234655048
rs13079221-<b>C</b>,"2 x 10-10",,0.4336,'-,"0.0405 unit increase",[0.028-0.053],FGD5,"Coronary artery disease","coronary artery disease",GCST005196,3:14860018
rs11718455-<b>T</b>,"4 x 10-6",,0.2559,'-,"0.0296 unit decrease",[0.017-0.042],"RNU6-367P, AC006058.3","Coronary artery disease","coronary artery disease",GCST005196,3:44015406
rs7617773-<b>T</b>,"2 x 10-11",,0.6703,'-,"0.0393 unit increase",[0.028-0.051],"AC124916.1, CDC25A","Coronary artery disease","coronary artery disease",GCST005196,3:48152025
rs7623687-<b>A</b>,"1 x 10-8",,0.8581,'-,"0.0529 unit increase",[0.035-0.071],RHOA,"Coronary artery disease","coronary artery disease",GCST005196,3:49411133
rs4411878-<b>T</b>,"6 x 10-6",,0.2576,'-,"0.0287 unit increase",[0.016-0.041],ADAMTS9-AS2,"Coronary artery disease","coronary artery disease",GCST005196,3:64717989
rs9840892-<b>A</b>,"2 x 10-6",,0.9814,'-,"0.1086 unit decrease",[0.064-0.154],AC026341.1,"Coronary artery disease","coronary artery disease",GCST005196,3:115175249
rs17843797-<b>T</b>,"2 x 10-13",,0.8719,'-,"0.0679 unit decrease",[0.05-0.086],UMPS,"Coronary artery disease","coronary artery disease",GCST005196,3:124734175
rs10512861-<b>T</b>,"2 x 10-8",,0.1441,'-,"0.0454 unit decrease",[0.03-0.061],"DNAJC13, ACAD11","Coronary artery disease","coronary artery disease",GCST005196,3:132539117
rs73222236-<b>A</b>,"1 x 10-8",,0.6673,'-,"0.0385 unit decrease",[0.025-0.052],MSL2,"Coronary artery disease","coronary artery disease",GCST005196,3:136169800
rs185244-<b>T</b>,"3 x 10-18",,0.1624,'-,"0.0737 unit increase",[0.057-0.09],MRAS,"Coronary artery disease","coronary artery disease",GCST005196,3:138374047
rs12493885-<b>C</b>,"1 x 10-14",,0.8641,'-,"0.074 unit increase",[0.055-0.093],ARHGEF26,"Coronary artery disease","coronary artery disease",GCST005196,3:154122077
rs12897-<b>A</b>,"2 x 10-10",,0.5863,'-,"0.042 unit decrease",[0.029-0.055],FNDC3B,"Coronary artery disease","coronary artery disease",GCST005196,3:172398112
rs16844401-<b>A</b>,"4 x 10-8",,0.0676,'-,"0.0683 unit increase",[0.044-0.093],HGFAC,"Coronary artery disease","coronary artery disease",GCST005196,4:3447925
rs2616407-<b>T</b>,"3 x 10-6",,0.811,'-,"0.0381 unit decrease",[0.022-0.054],"AC124017.1, AC058822.1","Coronary artery disease","coronary artery disease",GCST005196,4:53725232
rs57265257-<b>A</b>,"2 x 10-9",,0.799,'-,"0.0468 unit decrease",[0.032-0.062],NOA1,"Coronary artery disease","coronary artery disease",GCST005196,4:56973114
rs12500824-<b>A</b>,"4 x 10-10",,0.3559,'-,"0.0359 unit increase",[0.025-0.047],SHROOM3,"Coronary artery disease","coronary artery disease",GCST005196,4:76495474
rs10857147-<b>A</b>,"1 x 10-14",,0.7222,'-,"0.0553 unit decrease",[0.041-0.069],"FGF5, PRDM8","Coronary artery disease","coronary artery disease",GCST005196,4:80259918
rs11099493-<b>A</b>,"5 x 10-10",,0.6944,'-,"0.0431 unit increase",[0.03-0.057],RASGEF1B,"Coronary artery disease","coronary artery disease",GCST005196,4:81665896
rs2452600-<b>T</b>,"1 x 10-7",,0.3075,'-,"0.0365 unit decrease",[0.023-0.05],PDLIM5,"Coronary artery disease","coronary artery disease",GCST005196,4:94575731
rs17035270-<b>T</b>,"4 x 10-7",,0.797,'-,"0.036 unit decrease",[0.022-0.05],AC096577.1,"Coronary artery disease","coronary artery disease",GCST005196,4:105115388
rs11723436-<b>A</b>,"6 x 10-14",,0.6947,'-,"0.0519 unit decrease",[0.038-0.065],"LINC02502, AC097173.3","Coronary artery disease","coronary artery disease",GCST005196,4:119980181
rs35879803-<b>A</b>,"1 x 10-6",,0.3247,'-,"0.0333 unit decrease",[0.02-0.047],ZNF827,"Coronary artery disease","coronary artery disease",GCST005196,4:145861685
rs4593108-<b>C</b>,"8 x 10-15",,0.8022,'-,"0.0627 unit increase",[0.047-0.079],"MIR548G, AC010683.1","Coronary artery disease","coronary artery disease",GCST005196,4:147359849
rs6842241-<b>A</b>,"1 x 10-23",,0.1668,'-,"0.081 unit increase",[0.065-0.097],"PRMT5P1, EDNRA","Coronary artery disease","coronary artery disease",GCST005196,4:147479667
rs564398-<b>G</b>,"2 x 10-7",,0.399,'-,"0.1026 unit decrease",'-,"CDKN2B-AS1, AL359922.1","Coronary heart disease","coronary artery disease",GCST005767,9:22029548
rs980831-<b>T</b>,"6 x 10-6",,0.022,'-,"0.2922392 unit increase",'-,"RN7SL802P, ST8SIA4","Coronary heart disease","coronary artery disease",GCST005767,5:101415163
rs74617384-<b>T</b>,"3 x 10-12",,NR,1.38,'-,[1.26-1.51],LPA,"Coronary artery disease in diabetes","diabetes mellitus, coronary artery disease",GCST006405,6:160576086
rs10811652-<b>C</b>,"6 x 10-11",,NR,1.19,'-,[1.13-1.26],CDKN2B-AS1,"Coronary artery disease in diabetes","diabetes mellitus, coronary artery disease",GCST006405,9:22077086
